2025-01-10 08:20:47.08 | GuillaumeCharron | APP_v5.M.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-10 08:20:47.11 | GuillaumeCharron | APP_v5.M.xlsb | Validation d'accès serveur terminée *** = '0,0039 secondes'

2025-01-10 08:20:47.13 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-10 08:20:47.17 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0488 secondes'

2025-01-10 08:20:47.19 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-10 08:20:47.22 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0312 secondes'

2025-01-10 08:20:47.24 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile
2025-01-10 08:20:47.35 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile *** = '0,1211 secondes'

2025-01-10 08:20:47.37 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-10 08:20:47.41 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0410 secondes'

2025-01-10 08:20:47.44 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-10 08:20:47.46 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0254 secondes'

2025-01-10 08:20:47.48 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:CodeEssentielDepart *** = '0,4121 secondes'

2025-01-10 08:20:49.45 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:menuComptabilite_Click
2025-01-10 08:20:49.49 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:menuComptabilite_Click *** = '0,0469 secondes'

2025-01-10 08:20:50.27 | GuillaumeCharron | APP_v5.M.xlsb | wshENC_Saisie:Worksheet_Activate
2025-01-10 08:20:50.29 | GuillaumeCharron | APP_v5.M.xlsb | modImport:Client_List_Import_All
2025-01-10 08:20:50.44 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ResizeTable
