2025-01-15 05:43:14.17 | GuillaumeCharron | APP_v5.M.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-15 05:43:14.20 | GuillaumeCharron | APP_v5.M.xlsb | Validation d'accès serveur terminée *** = '0,0098 secondes'

2025-01-15 05:43:14.23 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-15 05:43:14.27 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,0508 secondes'

2025-01-15 05:43:14.29 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-15 05:43:14.32 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0293 secondes'

2025-01-15 05:43:14.34 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile
2025-01-15 05:43:15.13 | GuillaumeCharron | APP_v5.M.xlsb | ThisWorkbook:BackupMasterFile *** = '0,8027 secondes'

2025-01-15 05:43:15.16 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-15 05:43:15.21 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0586 secondes'

2025-01-15 05:43:15.24 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-15 05:43:15.26 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0254 secondes'

2025-01-15 05:43:15.28 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:CodeEssentielDepart *** = '1,1191 secondes'

2025-01-15 05:43:17.10 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:menuTEC_Click
2025-01-15 05:43:17.15 | GuillaumeCharron | APP_v5.M.xlsb | modMenu:menuTEC_Click *** = '0,0566 secondes'

2025-01-15 05:43:17.61 | GuillaumeCharron | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-15 05:43:17.65 | GuillaumeCharron | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0508 secondes'

2025-01-15 05:43:17.69 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-15 05:43:17.71 | GuillaumeCharron | APP_v5.M.xlsb | modImport:Client_List_Import_All
2025-01-15 05:43:18.27 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ResizeTable
2025-01-15 05:43:18.30 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ResizeTable *** = '0,0254 secondes'

2025-01-15 05:43:18.31 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ApplyFormatting
2025-01-15 05:43:18.33 | GuillaumeCharron | APP_v5.M.xlsb | modImport:ApplyFormatting *** = '0,0195 secondes'

2025-01-15 05:43:18.40 | GuillaumeCharron | APP_v5.M.xlsb | modImport:Client_List_Import_All *** = '0,6934 secondes'

2025-01-15 05:43:18.42 | GuillaumeCharron | APP_v5.M.xlsb | modImport:TEC_Import_All
2025-01-15 05:43:19.26 | GuillaumeCharron | APP_v5.M.xlsb | modImport:TEC_Import_All *** = '0,8438 secondes'

2025-01-15 05:43:19.29 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate *** = '1,6055 secondes'

2025-01-15 05:43:20.10 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-15 05:43:20.12 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0195 secondes'

2025-01-15 05:43:20.49 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-15 05:43:20.51 | GuillaumeCharron | APP_v5.M.xlsb | modFunctions:Fn_Complete_Date(15/01/25, 600, 15)
2025-01-15 05:43:20.52 | GuillaumeCharron | APP_v5.M.xlsb | modFunctions:Fn_Complete_Date *** = '0,0195 secondes'

2025-01-15 05:43:20.54 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,0586 secondes'

2025-01-15 05:43:20.56 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-15 05:43:20.58 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/15/01/25
2025-01-15 05:43:20.72 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,1465 secondes'

2025-01-15 05:43:20.74 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/15/01/25
2025-01-15 05:43:20.78 | GuillaumeCharron | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-15 05:43:20.80 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-15 05:43:20.83 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-15 05:43:20.97 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1504 secondes'

2025-01-15 05:43:21.00 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-15 05:43:21.19 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1875 secondes'

2025-01-15 05:43:21.21 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4043 secondes'

2025-01-15 05:43:21.22 | GuillaumeCharron | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-15 05:43:21.66 | GuillaumeCharron | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,4434 secondes'

2025-01-15 05:43:21.69 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:UpdatePivotTables
2025-01-15 05:43:21.78 | GuillaumeCharron | APP_v5.M.xlsb | modAppli:UpdatePivotTables *** = '0,0996 secondes'

2025-01-15 05:43:21.80 | GuillaumeCharron | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '1,0234 secondes'

2025-01-15 05:43:21.85 | GuillaumeCharron | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/15/01/25 *** = '1,1133 secondes'

2025-01-15 05:43:21.87 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '1,3164 secondes'

2025-01-15 05:43:28.35 | GuillaumeCharron | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Construction Nelson Inc. [Nelson Massicotte]]
