2025-02-16 09:13:38.21 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Add_Locally_Entete |  | 
2025-02-16 09:13:39.33 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Add_Locally_Entete |  | 1,1211 secondes

2025-02-16 09:13:39.37 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 
2025-02-16 09:13:39.00 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 0,6289 secondes

2025-02-16 09:13:40.04 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 
2025-02-16 09:13:40.93 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 0,8945 secondes

2025-02-16 09:13:40.97 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Update_DB_Comptes_Clients |  | 
2025-02-16 09:13:41.63 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Update_DB_Comptes_Clients |  | 0,6602 secondes

2025-02-16 09:13:41.67 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Update_Locally_Comptes_Clients |  | 
2025-02-16 09:13:41.86 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Update_Locally_Comptes_Clients |  | 0,1992 secondes

2025-02-16 09:13:42.19 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_GL_Posting_DB |  | 
2025-02-16 09:13:42.84 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_GL_Posting_DB |  | 0,6641 secondes

2025-02-16 09:13:42.89 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_GL_Posting_Locally |  | 
2025-02-16 09:13:45.55 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_GL_Posting_Locally |  | 2,6758 secondes

2025-02-16 09:13:47.84 | User | APP_v6.A.xlsb | modENC_Saisie:Encaissement_Add_New |  | 
2025-02-16 09:13:47.88 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Clear_Cells |  | 
2025-02-16 09:13:48.24 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Clear_Cells |  | 0,3633 secondes

2025-02-16 09:13:48.29 | User | APP_v6.A.xlsb | modENC_Saisie:Encaissement_Add_New |  | 0,4531 secondes

2025-02-16 09:13:48.33 | User | APP_v6.A.xlsb | modENC_Saisie:MAJ_Encaissement |  | 10,9023 secondes

2025-02-16 09:13:52.09 | User | APP_v6.A.xlsb | wshDEB_Saisie:Worksheet_Activate |  | 
2025-02-16 09:13:52.15 | User | APP_v6.A.xlsb | modImport:Fournisseur_List_Import_All |  | 
2025-02-16 09:13:52.64 | User | APP_v6.A.xlsb | modImport:Fournisseur_List_Import_All |  | 0,4961 secondes

2025-02-16 09:13:52.68 | User | APP_v6.A.xlsb | modImport:DEB_Trans_Import_All |  | 
2025-02-16 09:13:53.28 | User | APP_v6.A.xlsb | modImport:DEB_Trans_Import_All |  | 0,6016 secondes

2025-02-16 09:13:53.32 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 
2025-02-16 09:13:55.68 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 2,3711 secondes

2025-02-16 09:13:55.73 | User | APP_v6.A.xlsb | modImport:Fournisseur_List_Import_All |  | 
2025-02-16 09:13:56.05 | User | APP_v6.A.xlsb | modImport:Fournisseur_List_Import_All |  | 0,3320 secondes

2025-02-16 09:13:56.16 | User | APP_v6.A.xlsb | modDev_Utils:SetTabOrder | wshDEB_Saisie | 
2025-02-16 09:13:56.21 | User | APP_v6.A.xlsb | modDev_Utils:SetTabOrder |  | 0,0586 secondes

2025-02-16 09:13:56.27 | User | APP_v6.A.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells |  | 
2025-02-16 09:13:56.44 | User | APP_v6.A.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells |  | 0,1758 secondes

2025-02-16 09:13:56.50 | User | APP_v6.A.xlsb | wshDEB_Saisie:Worksheet_Activate |  | 4,4062 secondes

2025-02-16 09:14:03.57 | User | APP_v6.A.xlsb | wshENC_Saisie:Worksheet_Activate |  | 
2025-02-16 09:14:03.62 | User | APP_v6.A.xlsb | modImport:Client_List_Import_All |  | 
2025-02-16 09:14:04.12 | User | APP_v6.A.xlsb | modImport:ResizeTable |  | 
2025-02-16 09:14:04.17 | User | APP_v6.A.xlsb | modImport:ResizeTable |  | 0,0508 secondes

2025-02-16 09:14:04.21 | User | APP_v6.A.xlsb | modImport:ApplyFormatting |  | 
2025-02-16 09:14:04.25 | User | APP_v6.A.xlsb | modImport:ApplyFormatting |  | 0,0469 secondes

2025-02-16 09:14:04.35 | User | APP_v6.A.xlsb | modImport:Client_List_Import_All |  | 0,7383 secondes

2025-02-16 09:14:04.39 | User | APP_v6.A.xlsb | modImport:FAC_Comptes_Clients_Import_All |  | 
2025-02-16 09:14:04.86 | User | APP_v6.A.xlsb | modImport:FAC_Comptes_Clients_Import_All |  | 0,4727 secondes

2025-02-16 09:14:04.90 | User | APP_v6.A.xlsb | modImport:FAC_Détails_Import_All |  | 
2025-02-16 09:14:05.80 | User | APP_v6.A.xlsb | modImport:FAC_Détails_Import_All |  | 0,9062 secondes

2025-02-16 09:14:05.84 | User | APP_v6.A.xlsb | modImport:FAC_Entête_Import_All |  | 
2025-02-16 09:14:06.40 | User | APP_v6.A.xlsb | modImport:FAC_Entête_Import_All |  | 0,5664 secondes

2025-02-16 09:14:06.44 | User | APP_v6.A.xlsb | modImport:ENC_Détails_Import_All |  | 
2025-02-16 09:14:07.23 | User | APP_v6.A.xlsb | modImport:ENC_Détails_Import_All |  | 0,7930 secondes

2025-02-16 09:14:07.27 | User | APP_v6.A.xlsb | modImport:ENC_Entête_Import_All |  | 
2025-02-16 09:14:08.04 | User | APP_v6.A.xlsb | modImport:ENC_Entête_Import_All |  | 0,7656 secondes

2025-02-16 09:14:08.07 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 
2025-02-16 09:14:10.52 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 2,4570 secondes

2025-02-16 09:14:10.64 | User | APP_v6.A.xlsb | modDev_Utils:SetTabOrder | wshENC_Saisie | 
2025-02-16 09:14:10.69 | User | APP_v6.A.xlsb | modDev_Utils:SetTabOrder |  | 0,0625 secondes

2025-02-16 09:14:10.73 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes |  | 
2025-02-16 09:14:10.79 | User | APP_v6.A.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes |  | 0,0547 secondes

2025-02-16 09:14:11.01 | User | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date | 16-02-2025, 30, 0 | 
2025-02-16 09:14:11.05 | User | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date |  | 0,0469 secondes

2025-02-16 09:14:11.17 | User | APP_v6.A.xlsb | wshENC_Saisie:Worksheet_Activate |  | 7,6016 secondes

2025-02-16 09:14:13.90 | User | APP_v6.A.xlsb | wshGL_BV:Worksheet_Activate |  | 
2025-02-16 09:14:13.96 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 
2025-02-16 09:14:16.36 | User | APP_v6.A.xlsb | modImport:GL_Trans_Import_All |  | 2,4102 secondes

2025-02-16 09:14:16.73 | User | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date | , 999, 15 | 
2025-02-16 09:14:16.78 | User | APP_v6.A.xlsb | modFunctions:Fn_Complete_Date |  | 0,0469 secondes

2025-02-16 09:14:16.92 | User | APP_v6.A.xlsb | modGL_BV:GL_Trial_Balance_Build | GL_BV 2025-02-16 | 
2025-02-16 09:14:17.20 | User | APP_v6.A.xlsb | modGL_Stuff:GL_Get_Account_Trans_AF |  - De 2024-07-31 à 2025-02-16 | 
2025-02-16 09:14:18.93 | User | APP_v6.A.xlsb | modGL_Stuff:GL_Get_Account_Trans_AF |  | 1,7383 secondes

2025-02-16 09:14:25.82 | User | APP_v6.A.xlsb | modGL_BV:GL_BV_Display_TB_Totals |  | 
2025-02-16 09:14:25.91 | User | APP_v6.A.xlsb | modGL_BV:GL_BV_Display_TB_Totals |  | 0,1055 secondes

2025-02-16 09:14:25.96 | User | APP_v6.A.xlsb | modGL_BV:GL_BV_Display_TB_Totals |  | 
2025-02-16 09:14:26.04 | User | APP_v6.A.xlsb | modGL_BV:GL_BV_Display_TB_Totals |  | 0,0859 secondes

2025-02-16 09:14:26.85 | User | APP_v6.A.xlsb | modGL_BV:GL_Trial_Balance_Build |  | 9,9375 secondes

2025-02-16 09:14:26.94 | User | APP_v6.A.xlsb | wshGL_BV:Worksheet_Activate |  | 13,0508 secondes

2025-02-16 09:14:41.23 | User | APP_v6.A.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-16 09:14:41.35 | User | APP_v6.A.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,1250 secondes

2025-02-16 09:14:42.08 | User | APP_v6.A.xlsb | modMenu:SauvegarderEtSortirApplication |  | 
2025-02-16 09:14:45.45 | User | APP_v6.A.xlsb | modMenu:Delete_User_Active_File |  | 
2025-02-16 09:14:45.57 | User | APP_v6.A.xlsb | modMenu:Delete_User_Active_File |  | 0,1289 secondes

2025-02-16 09:14:45.61 | User | APP_v6.A.xlsb | ----- Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) ----- |  | 

2025-02-16 09:28:58.84 | vgervais | APP_v5.P.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-16 09:28:58.89 | vgervais | APP_v5.P.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,0586 secondes

2025-02-16 09:28:59.79 | vgervais | APP_v5.P.3.xlsb | modMenu:SauvegarderEtSortirApplication |  | 
2025-02-16 09:29:01.07 | vgervais | APP_v5.P.3.xlsb | modMenu:Delete_User_Active_File |  | 
2025-02-16 09:29:01.13 | vgervais | APP_v5.P.3.xlsb | modMenu:Delete_User_Active_File |  | 0,0547 secondes

2025-02-16 09:29:01.16 | vgervais | APP_v5.P.3.xlsb | ----- Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) ----- |  | 

2025-02-16 10:33:28.74 | vgervais | APP_v6.A.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-16 10:33:28.79 | vgervais | APP_v6.A.xlsb | Validation d'accès serveur terminée |  | 0,0039 secondes

2025-02-16 10:33:28.83 | vgervais | APP_v6.A.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-16 10:33:28.89 | vgervais | APP_v6.A.xlsb | modAppli:CreateUserActiveFile |  | 0,0703 secondes

2025-02-16 10:33:28.93 | vgervais | APP_v6.A.xlsb | modAppli:SetupUserDateFormat |  | 
