2025-02-02 08:13:05.79 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_Stuff:GL_Get_Account_Trans_AF *** = '1,9414 secondes'

2025-02-02 08:13:05.93 | GuillaumeCharron | APP_v5.N.6.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - TPS payées
2025-02-02 08:13:05.96 | GuillaumeCharron | APP_v5.N.6.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1200
2025-02-02 08:13:05.98 | GuillaumeCharron | APP_v5.N.6.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description *** = '0,0527 secondes'

2025-02-02 08:13:06.37 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_Stuff:GL_Get_Account_Trans_AF(1201 - De 31/07/24 à 02/02/25)
2025-02-02 08:13:08.15 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_Stuff:GL_Get_Account_Trans_AF *** = '1,7812 secondes'

2025-02-02 08:13:08.30 | GuillaumeCharron | APP_v5.N.6.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - TVQ payées
2025-02-02 08:13:08.32 | GuillaumeCharron | APP_v5.N.6.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1201
2025-02-02 08:13:08.35 | GuillaumeCharron | APP_v5.N.6.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description *** = '0,0547 secondes'

2025-02-02 08:13:09.14 | GuillaumeCharron | APP_v5.N.6.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Encaisse
2025-02-02 08:13:09.17 | GuillaumeCharron | APP_v5.N.6.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1000
2025-02-02 08:13:09.19 | GuillaumeCharron | APP_v5.N.6.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description *** = '0,0586 secondes'

2025-02-02 08:13:20.39 | GuillaumeCharron | APP_v5.N.6.xlsb | wshGL_EJ:Worksheet_Activate
2025-02-02 08:13:20.42 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_Trans_Import_All
2025-02-02 08:13:22.49 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_Trans_Import_All *** = '2,0781 secondes'

2025-02-02 08:13:22.52 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_EJ_Recurrente_Import_All
2025-02-02 08:13:23.36 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary
2025-02-02 08:13:25.56 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary *** = '2,2070 secondes'

2025-02-02 08:13:25.66 | GuillaumeCharron | APP_v5.N.6.xlsb | modImport:GL_EJ_Recurrente_Import_All *** = '3,1426 secondes'

2025-02-02 08:13:25.98 | GuillaumeCharron | APP_v5.N.6.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
