2024-12-17 18:17:56.30 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,2734 sec.

2024-12-17 18:17:56.34 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,6562 sec.

2024-12-17 18:17:56.37 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-17 18:17:56.95 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,5859 sec.

2024-12-17 18:17:56.98 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-17 18:17:57.09 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,1172 sec.

2024-12-17 18:17:57.13 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 1,4766 sec.

2024-12-17 18:17:57.16 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-17 18:17:57.19 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-17 18:17:57.22 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-17 18:17:57.50 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2812 sec.

2024-12-17 18:17:57.53 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-17 18:17:57.80 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,2734 sec.

2024-12-17 18:17:57.84 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,6484 sec.

2024-12-17 18:17:57.86 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-17 18:17:58.44 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,5859 sec.

2024-12-17 18:17:58.48 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-17 18:17:58.59 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,1172 sec.

2024-12-17 18:17:58.62 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 1,4531 sec.

2024-12-17 18:17:58.80 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/17-12-2024 = 4,6406 sec.

