2024-12-12 08:29:23.33 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2024-12-12 08:29:23.36 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2024-12-12 08:29:23.84 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = 0,4844 sec.

2024-12-12 08:29:23.87 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2024-12-12 08:29:23.93 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = 0,0605 sec.

2024-12-12 08:29:23.96 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2024-12-12
2024-12-12 08:29:24.03 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,0723 sec.

2024-12-12 08:29:24.06 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2024-12-12
2024-12-12 08:29:24.15 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2024-12-12 = 0,0977 sec.

2024-12-12 08:29:24.19 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = 0,8652 sec.

2024-12-12 08:29:24.22 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:cmdAdd_Click = 0,9316 sec.

2024-12-12 11:32:39.61 | Annie | APP_v5.G.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-12 11:32:39.70 | Annie | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-12 11:32:39.87 | Annie | APP_v5.G.5.xlsb | ThisWorkbook:Create_User_Active_File = 0.1953 sec.

2024-12-12 11:32:42.07 | Annie | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-12 11:32:42.35 | Annie | APP_v5.G.5.xlsb | modAppli:Write_Info_On_Main_Menu = 0.3008 sec.

2024-12-12 11:32:42.59 | Annie | APP_v5.G.5.xlsb | ThisWorkbook:Workbook_Open = 6.6016 sec.

2024-12-12 11:32:53.52 | Annie | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-12 11:32:53.62 | Annie | APP_v5.G.5.xlsb | modImport:Client_List_Import_All
2024-12-12 11:32:54.58 | Annie | APP_v5.G.5.xlsb | modImport:Client_List_Import_All = 0.9805 sec.

2024-12-12 11:32:54.68 | Annie | APP_v5.G.5.xlsb | modImport:TEC_Import_All
2024-12-12 11:32:56.00 | Annie | APP_v5.G.5.xlsb | modImport:TEC_Import_All = 1.3438 sec.

2024-12-12 11:32:56.11 | Annie | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Activate = 2.6055 sec.

2024-12-12 11:33:00.74 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-12 11:33:00.84 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-12 11:33:01.25 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0.4297 sec.

2024-12-12 11:33:01.34 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-12 11:33:01.64 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0.3203 sec.

2024-12-12 11:33:01.73 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 1.0117 sec.

2024-12-12 11:33:01.83 | Annie | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-12 11:33:02.03 | Annie | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0.2148 sec.

2024-12-12 11:33:02.12 | Annie | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-12 11:33:02.27 | Annie | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0.1758 sec.

2024-12-12 11:33:02.47 | Annie | APP_v5.G.5.xlsb | ufStatsHeures:UserForm_Initialize
2024-12-12 11:33:02.56 | Annie | APP_v5.G.5.xlsb | ufStatsHeures:ChargerListBoxAvec52DernieresSemaines
2024-12-12 11:33:02.66 | Annie | APP_v5.G.5.xlsb | ufStatsHeures:lbxDatesSemaines_Click()
2024-12-12 11:33:02.76 | Annie | APP_v5.G.5.xlsb | ufStatsHeures:lbxDatesSemaines_Click_or_DblClick()
2024-12-12 11:33:02.86 | Annie | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-12 11:33:02.95 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-12 11:33:03.04 | Annie | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
