2025-06-08 16:15:47.53 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Détails |  | 
2025-06-08 16:15:48.08 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Détails |  | 0,5469 secondes

2025-06-08 16:15:48.09 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacDetails |  | 0,5625 secondes

2025-06-08 16:15:48.17 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACDetails |  | 0,6562 secondes

2025-06-08 16:15:48.19 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACComptesClients |  | 
2025-06-08 16:15:48.19 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacComptesClients |  | 
2025-06-08 16:15:48.19 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Comptes_Clients |  | 
2025-06-08 16:15:48.39 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Comptes_Clients |  | 0,2070 secondes

2025-06-08 16:15:48.39 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacComptesClients |  | 0,2070 secondes

2025-06-08 16:15:55.52 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACComptesClients |  | 7,3320 secondes

2025-06-08 16:15:55.54 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACSommaireTaux |  | 
2025-06-08 16:15:55.54 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacSommaireTaux |  | 
2025-06-08 16:15:55.55 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Sommaire_Taux |  | 
2025-06-08 16:15:55.70 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Sommaire_Taux |  | 0,1562 secondes

2025-06-08 16:15:55.70 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacSommaireTaux |  | 0,1680 secondes

2025-06-08 16:15:55.77 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACSommaireTaux |  | 0,2344 secondes

2025-06-08 16:15:55.78 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierENCEntete |  | 
2025-06-08 16:15:55.78 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncEntete |  | 
2025-06-08 16:15:55.78 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Entête |  | 
2025-06-08 16:15:55.95 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Entête |  | 0,1719 secondes

2025-06-08 16:15:55.97 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncEntete |  | 0,1914 secondes

2025-06-08 16:15:56.11 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierENCEntete |  | 0,3281 secondes

2025-06-08 16:15:56.13 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierENCDetails |  | 
2025-06-08 16:15:56.13 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncDetails |  | 
2025-06-08 16:15:56.13 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Détails |  | 
2025-06-08 16:15:56.32 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Détails |  | 0,1875 secondes

2025-06-08 16:15:56.33 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncDetails |  | 0,2031 secondes

2025-06-08 16:15:56.49 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierENCDetails |  | 0,3594 secondes

2025-06-08 16:15:56.49 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VérifierCCRégularisations |  | 
2025-06-08 16:15:56.50 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterCCRegularisations |  | 
2025-06-08 16:15:56.50 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:CC_Régularisations |  | 
2025-06-08 16:15:56.60 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:CC_Régularisations |  | 0,0938 secondes

2025-06-08 16:15:56.61 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterCCRegularisations |  | 0,1094 secondes

2025-06-08 16:15:56.77 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VérifierCCRégularisations |  | 0,2852 secondes

2025-06-08 16:15:56.79 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACProjetsEntete |  | 
2025-06-08 16:15:56.79 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacProjetsEntete |  | 
2025-06-08 16:15:56.79 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Projets_Entête |  | 
2025-06-08 16:15:56.85 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Projets_Entête |  | 0,0625 secondes

2025-06-08 16:15:56.87 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacProjetsEntete |  | 0,0781 secondes

2025-06-08 16:15:56.88 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACProjetsEntete |  | 0,0938 secondes

2025-06-08 16:15:56.90 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACProjetsDetails |  | 
2025-06-08 16:15:56.90 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacProjetsDetails |  | 
2025-06-08 16:15:56.90 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Projets_Détails |  | 
2025-06-08 16:15:56.98 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Projets_Détails |  | 0,0781 secondes

