2024-11-16 09:48:30.70 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$25 | 0,0352 sec. | 31

2024-11-16 09:48:38.50 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 -  |  | 31
2024-11-16 09:48:38.55 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 | 0,0469 sec. | 31

2024-11-16 09:48:44.01 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 -  |  | 31
2024-11-16 09:48:44.06 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 | 0,0469 sec. | 31

2024-11-16 09:48:49.44 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale |  | 31
2024-11-16 09:48:49.78 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Finale:Worksheet_Activate |  | 31
2024-11-16 09:48:49.99 | GuillaumeCharron | APP_v5.D.1.xlsb | wshFAC_Finale:Worksheet_Activate | 0,2148 sec. | 31

2024-11-16 09:48:50.02 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale | 0,5742 sec. | 31

2024-11-16 09:48:57.82 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Bouton_Creation_PDF - '24-24618' |  | 31
2024-11-16 09:48:57.84 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF(24-24618) |  | 31
2024-11-16 09:48:57.85 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func(24-24618, SaveOnly) |  | 31
2024-11-16 09:48:59.68 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func | 1,8359 sec. | 31

2024-11-16 09:48:59.70 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF | 1,8672 sec. | 31

2024-11-16 09:48:59.72 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel(1350, Acier Altitube Inc. [Philippe Robillard], 24-24618, 2024-11-16) |  | 31
2024-11-16 09:49:22.49 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Bouton_Creation_PDF - '24-24618' |  | 31
2024-11-16 09:49:22.52 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF(24-24618) |  | 31
2024-11-16 09:49:22.53 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func(24-24618, SaveOnly) |  | 31
2024-11-16 09:49:28.63 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func | 6,1016 sec. | 31

2024-11-16 09:49:28.64 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Create_PDF | 6,1289 sec. | 31

2024-11-16 09:49:28.66 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel(1350, Acier Altitube Inc. [Philippe Robillard], 24-24618, 2024-11-16) |  | 31
2024-11-16 09:49:39.05 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel | 10,3867 sec. | 31

2024-11-16 09:49:39.07 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel(24-24618, 1350) |  | 31
2024-11-16 09:49:39.79 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel | 0,7188 sec. | 31

2024-11-16 09:49:39.80 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Bouton_Creation_PDF | 17,3164 sec. | 31

2024-11-16 09:49:59.31 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Save (# = 24-24618 - Date = 16/11/2024) |  | 31
2024-11-16 09:49:59.34 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_to_DB (# = 24-24618 - Date = 16/11/2024) |  | 31
2024-11-16 09:49:59.54 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_to_DB | 0,2109 sec. | 31

2024-11-16 09:49:59.56 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_Locally (# = 24-24618 - Date = 16/11/2024) |  | 31
2024-11-16 09:49:59.82 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Header_Locally | 0,2617 sec. | 31

2024-11-16 09:49:59.85 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_to_DB (# = 24-24618 - Date = 16/11/2024) |  | 31
2024-11-16 09:50:00.07 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_to_DB | 0,2266 sec. | 31

2024-11-16 09:50:00.09 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_Locally (# = 24-24618 - Date = 16/11/2024) |  | 31
2024-11-16 09:50:00.94 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_Locally | 0,8438 sec. | 31

2024-11-16 09:50:00.95 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_to_DB - # = 24-24618 - Date = 16/11/2024 |  | 31
2024-11-16 09:50:01.13 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_to_DB | 0,1797 sec. | 31

2024-11-16 09:50:01.15 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_Locally - # = 24-24618 - Date = 16/11/2024 |  | 31
2024-11-16 09:50:01.34 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_Locally | 0,1875 sec. | 31

2024-11-16 09:50:01.35 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_to_DB (# = 24-24618 - Date = 16/11/2024 |  | 31
2024-11-16 09:50:01.56 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_to_DB | 0,2109 sec. | 31

2024-11-16 09:50:01.58 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_Locally (# = 24-24618 - Date = 16/11/2024 |  | 31
2024-11-16 09:50:01.73 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_Locally | 0,1602 sec. | 31

2024-11-16 09:50:01.76 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_TEC_Update_As_Billed_To_DB(3, 14) |  | 31
2024-11-16 09:50:02.09 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_TEC_Update_As_Billed_To_DB | 0,3320 sec. | 31

2024-11-16 09:50:02.11 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Finale:FAC_Finale_TEC_Update_As_Billed_Locally(3, 14) |  | 31
2024-11-16 09:50:02.12 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-16 09:50:02.15 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 1750 |  | 31
